No,movie,week_at_Top10
1,Love at First Sight,1
2,Insomnia,1
3,Rumor Has It...,2
4,The Wolf of Wall Street,4
5,Teenage Mutant Ninja Turtles 2,2
6,F9: The Fast Saga,3
7,Four Brothers,1
8,"Ordinary Men: The ""Forgotten Holocaust""",1
9,You Are So Not Invited to My Bat Mitzvah,4
10,Pitch Perfect,2
1,Jexi,2
2,F9: The Fast Saga,2
3,You Are So Not Invited to My Bat Mitzvah,3
4,Rumor Has It...,1
5,Fantastic Beasts: The Secrets of Dumbledore,2
6,Sonic the Hedgehog 2,3
7,Teenage Mutant Ninja Turtles 2,1
8,Pitch Perfect,1
9,Assault on VA-33,1
10,Choose Love,2
1,You Are So Not Invited to My Bat Mitzvah,2
2,F9: The Fast Saga,1
3,Sonic the Hedgehog 2,2
4,Fantastic Beasts: The Secrets of Dumbledore,1
5,Jexi,1
6,To Catch a Killer,3
7,Halloween Kills,1
8,Heart of Stone,4
9,Choose Love,1
10,The Monkey King,3
1,To Catch a Killer,2
2,Sonic the Hedgehog 2,1
3,You Are So Not Invited to My Bat Mitzvah,1
4,The Monkey King,2
5,Heart of Stone,3
6,The Lost City,3
7,6 Below: Miracle on the Mountain,1
8,The Place Beyond the Pines,1
9,The Matrix Resurrections,3
10,Man of Tai Chi,1
1,Heart of Stone,2
2,The Lost City,2
3,To Catch a Killer,1
4,The Matrix Resurrections,2
5,Untold: Hall of Shame,1
6,Without a Paddle,3
7,Taking Lives,1
8,The Monkey King,1
9,Don't Breathe 2,1
10,Robin Hood,2
1,The Lost City,1
2,Heart of Stone,1
3,Untold: Johnny Football,1
4,The Matrix Resurrections,1
5,Two Weeks Notice,1
6,Happiness for Beginners,3
7,Robin Hood,1
8,Poisoned: The Dirty Truth About Your Food,2
9,"Miraculous: Ladybug & Cat Noir, The Movie",3
10,The Taking of Pelham 123,1
1,Happiness for Beginners,2
2,Hidden Strike,2
3,"Miraculous: Ladybug & Cat Noir, The Movie",2
4,Poisoned: The Dirty Truth About Your Food,1
5,Paradise,1
6,Untold: Jake Paul the Problem Child,1
7,Texas Killing Fields,2
8,Missing: The Lucie Blackman Case,2
9,Soulcatcher,1
10,The Current War,1
1,Hidden Strike,1
2,Happiness for Beginners,1
3,Texas Killing Fields,1
4,Missing: The Lucie Blackman Case,1
5,"Miraculous: Ladybug & Cat Noir, The Movie",1
6,Unknown: Cosmic Time Machine,1
7,Fist Fight,2
8,The Batman,2
9,The Out-Laws,4
10,They Cloned Tyrone,1
1,The Batman,1
2,The Out-Laws,3
3,Unknown: Cave of Bones,1
4,Bird Box Barcelona,2
5,Escape Room: Tournament Of Champions,1
6,Fist Fight,1
7,Captain Underpants: The First Epic Movie,1
8,Dungeons & Dragons: Honor Among Thieves,4
9,On the Line,2
10,The Deepest Breath,1
1,The Out-Laws,2
2,Dungeons & Dragons: Honor Among Thieves,3
3,On the Line,1
4,Nobody,3
5,Bird Box Barcelona,1
6,The Nice Guys,2
7,Fool's Gold,1
8,The Man from U.N.C.L.E.,1
9,The Tutor,1
10,World War Z,2
1,Nobody,2
2,The Out-Laws,1
3,Dungeons & Dragons: Honor Among Thieves,2
4,Titanic,1
5,World War Z,1
6,The Nice Guys,1
7,WHAM!,1
8,Unknown: The Lost Pyramid,1
9,Nimona,1
10,Run Rabbit Run,2
1,Nobody,1
2,Extraction 2,3
3,Run Rabbit Run,1
4,King Richard,2
5,Maybe I Do,2
6,The Perfect Find,2
7,Dungeons & Dragons: Honor Among Thieves,1
8,Take Care of Maya,2
9,Age of Heroes,1
10,Make Me Believe,1
1,Extraction 2,2
2,Maybe I Do,1
3,Take Care of Maya,1
4,Georgetown,1
5,Extraction,2
6,Gemini Man,4
7,King Richard,1
8,Life or Something Like It,2
9,The Perfect Find,1
10,Spider-Man: Into the Spider-Verse,3
1,Extraction 2,1
2,Dune,2
3,Life or Something Like It,1
4,Spider-Man: Into the Spider-Verse,2
5,A Man Apart,2
6,Extraction,1
7,Baby Driver,1
8,The Substitute,1
9,American Made,3
10,A Beautiful Life,3
1,American Made,2
2,A Beautiful Life,2
3,Dune,1
4,Spider-Man: Into the Spider-Verse,1
5,A Man Apart,1
6,Mean Girls,1
7,Redemption Day,1
8,Miss Congeniality,1
9,Jack the Giant Slayer,1
10,Mr. Peabody & Sherman,1
1,Jack Reacher: Never Go Back,2
2,A Beautiful Life,1
3,Astérix & Obélix: The Middle Kingdom,1
4,Oldboy,1
5,The Boss Baby,4
6,Jack Reacher,3
7,Blood & Gold,2
8,The Mother,4
9,American Made,1
10,Instant Family,3
1,Jack Reacher: Never Go Back,1
2,The Mother,3
3,Jack Reacher,2
4,Instant Family,2
5,Mother's Day,1
6,The Boss Baby: Family Business,2
7,Book Club,1
8,Victim/Suspect,1
9,Blood & Gold,1
10,Anna Nicole Smith: You Don't Know Me,2
1,The Mother,2
