No,movie,week_at_Top10
1,Love at First Sight,1
2,Fifty Shades Freed,1
3,The Expendables 3,1
4,Jack Reacher: Never Go Back,5
5,Dr. Seuss' The Grinch,2
6,City of Lies,1
7,Jack Reacher,4
8,The Expendables,1
9,War,3
10,Choose Love,3
1,Prisoners,1
2,Choose Love,2
3,Dr. Seuss' The Grinch,1
4,Jack Reacher: Never Go Back,4
5,Happy Ending,1
6,You Are So Not Invited to My Bat Mitzvah,3
7,War,2
8,Jack Reacher,3
9,Sing 2,4
10,Heart of Stone,5
1,You Are So Not Invited to My Bat Mitzvah,2
2,Heart of Stone,4
3,Sing 2,3
4,The Monkey King,3
5,Killer Book Club,1
6,The Boss Baby,7
7,Choose Love,1
8,Ammonite,1
9,Jurassic World: Fallen Kingdom,2
10,"Miraculous: Ladybug & Cat Noir, The Movie",6
1,Heart of Stone,3
2,The Monkey King,2
3,Sing 2,2
4,Jurassic World: Fallen Kingdom,1
5,Street Kings,1
6,Curve,2
7,Dora and the Lost City of Gold,1
8,"Miraculous: Ladybug & Cat Noir, The Movie",5
9,Death Race,1
10,You Are So Not Invited to My Bat Mitzvah,1
1,Heart of Stone,2
2,What Men Want,2
3,Curve,1
4,"Miraculous: Ladybug & Cat Noir, The Movie",4
5,Sing 2,1
6,Peppermint,2
7,Abduction,1
8,The Monkey King,1
9,Marry Me Again?,15
10,Paradise,3
1,Heart of Stone,1
2,Paradise,2
3,"Miraculous: Ladybug & Cat Noir, The Movie",3
4,Peppermint,1
5,What Men Want,1
6,Divergent,2
7,Backtrace,1
8,xXx: Return of Xander Cage,1
9,Clifford the Big Red Dog,3
10,Marry Me Again?,14
1,"Miraculous: Ladybug & Cat Noir, The Movie",2
2,Paradise,1
3,Clifford the Big Red Dog,2
4,Soulcatcher,1
5,Happiness for Beginners,1
6,Random Hearts,1
7,Divergent,1
8,You Are Not Going to the Right Place,3
9,Marry Me Again?,13
10,Extraction 2,8
1,You Are Not Going to the Right Place,2
2,"Miraculous: Ladybug & Cat Noir, The Movie",1
3,Bird Box Barcelona,3
4,Clifford the Big Red Dog,1
5,Escape Plan,2
6,Extraction 2,7
7,Marry Me Again?,12
8,The Out-Laws,4
9,Basic,1
10,Love Tactics 2,3
1,Bird Box Barcelona,2
2,Escape Plan: The Extractors,2
3,The Out-Laws,3
4,Love Tactics 2,2
5,Extraction 2,6
6,Marry Me Again?,11
7,Escape Plan,1
8,Monster Hunter,2
9,Man on Fire,4
10,You Are Not Going to the Right Place,1
1,The Out-Laws,2
2,Monster Hunter,1
3,Bird Box Barcelona,1
4,Extraction 2,5
5,Escape Plan: The Extractors,1
6,Greta,1
7,Skyscraper,2
8,The Adventures of Sharkboy and Lavagirl,2
9,Marry Me Again?,10
10,Love Tactics 2,1
1,Extraction 2,4
2,Unknown: The Lost Pyramid,1
3,The Out-Laws,1
4,Skyscraper,1
5,Marry Me Again?,9
6,Scorpion King 5: Book of Souls,1
7,Extraction,4
8,The Fog,1
9,Make Me Believe,3
10,The Adventures of Sharkboy and Lavagirl,1
1,Extraction 2,3
2,Make Me Believe,2
3,Extraction,3
4,Survivor,2
5,Marry Me Again?,8
6,Synchronic,1
7,Through My Window: Across the Sea,2
8,The Perfect Find,1
9,A Stand Worthy of Men,22
10,The Assignment,2
1,Extraction 2,2
2,Extraction,2
3,No Escape,2
4,Make Me Believe,1
5,Survivor,1
6,Through My Window: Across the Sea,1
7,The Assignment,1
8,Marry Me Again?,7
9,Hunter Killer,3
10,What Happens in Vegas,3
1,Extraction 2,1
2,Hunter Killer,2
3,You Do You,2
4,Home Again,1
5,Extraction,1
6,No Escape,1
7,Black Clover: Sword of the Wizard King,1
8,Tamasih Elnil,3
9,Marry Me Again?,6
10,The Mother,6
1,Tamasih Elnil,2
2,Hunter Killer,1
3,The Gentlemen,2
4,Rambo: Last Blood,2
5,Shooter,1
6,The Mother,5
7,The Vow,1
8,You Do You,1
9,Tin & Tina,3
10,F9: The Fast Saga,14
1,Tamasih Elnil,1
2,Old,2
3,The Mother,4
4,Tin & Tina,2
5,Blood & Gold,1
6,Rambo: Last Blood,1
7,F9: The Fast Saga,13
8,The Year I Started Masturbating,1
9,Spirit Untamed,1
10,The Gentlemen,1
1,Old,1
2,The Mother,3
3,Sniper: Assassin's End,1
4,The Great Wall,1
5,Jaws,1
6,F9: The Fast Saga,12
7,Faithfully Yours,2
8,Hard Feelings,1
9,Mrs. Chatterjee vs Norway,2
10,Tin & Tina,1
1,The Mother,2
2,Faithfully Yours,1
3,Mrs. Chatterjee vs Norway,1
4,F9: The Fast Saga,11
5,Abu Sadaam,3
6,AKA,4
7,Paw Patrol: The Movie,4
8,Title Holder,6
9,Luther: The Fallen Sun,11
10,For Ziko,5
1,The Mother,1
2,Abu Sadaam,2
3,AKA,3
4,Paw Patrol: The Movie,3
5,Title Holder,5
6,F9: The Fast Saga,10
7,Luther: The Fallen Sun,10
8,For Ziko,4
9,Murder Mystery 2,7
10,Hunger,5
1,AKA,2
2,Paw Patrol: The Movie,2
3,Title Holder,4
4,The Cold Light Of Day,1
5,Murder Mystery 2,6
6,Hunger,4
7,Luther: The Fallen Sun,9
8,Abu Sadaam,1
9,F9: The Fast Saga,9
10,For Ziko,3
1,Murder Mystery 2,5
2,Title Holder,3
3,Hunger,3
4,Luther: The Fallen Sun,8
5,The Last Kingdom: Seven Kings Must Die,3
6,AKA,1
7,A Tourist's Guide to Love,1
8,Noah,5
9,F9: The Fast Saga,8
10,Paw Patrol: The Movie,1
1,Murder Mystery 2,4
2,The Last Kingdom: Seven Kings Must Die,2
3,Title Holder,2
4,Hunger,2
5,Noah,4
6,Luther: The Fallen Sun,7
7,No Longer kids,1
8,Snake Eyes: G.I. Joe Origins,3
9,F9: The Fast Saga,7
10,Sayed the Servant,1
1,Hunger,1
2,Murder Mystery 2,3
3,Title Holder,1
4,The Last Kingdom: Seven Kings Must Die,1
5,Noah,3
6,Snake Eyes: G.I. Joe Origins,2
7,Chupa,2
8,Home,2
9,Oh Belinda,1
10,Luther: The Fallen Sun,6
1,Murder Mystery 2,2
2,Murder Mystery,2
3,Home,1
4,Kill Boksoon,2
5,The American,1
6,Luther: The Fallen Sun,5
7,Snake Eyes: G.I. Joe Origins,1
8,Noah,2
9,Chupa,1
10,The Boss Baby: Family Business,3
1,Murder Mystery 2,1
2,Luther: The Fallen Sun,4
3,For Ziko,2
4,The Boss Baby: Family Business,2
5,The Magician's Elephant,3
6,Murder Mystery,1
7,F9: The Fast Saga,6
8,The Boss Baby,6
9,Kill Boksoon,1
10,Chor Nikal Ke Bhaga,1
1,Luther: The Fallen Sun,3
2,The Magician's Elephant,2
3,The Boss Baby: Family Business,1
4,F9: The Fast Saga,5
5,For Ziko,1
6,Noise,1
7,Marry Me Again?,5
8,Outside the Curriculum,3
9,In His Shadow,1
10,All Quiet on the Western Front,5
1,Luther: The Fallen Sun,2
2,Outside the Curriculum,2
3,F9: The Fast Saga,4
4,The Magician's Elephant,1
5,Marry Me Again?,4
6,Money Shot: The Pornhub Story,1
7,We Have a Ghost,4
8,The Forever Purge,2
9,Faraway,2
10,A Stand Worthy of Men,21
1,Luther: The Fallen Sun,1
2,F9: The Fast Saga,3
3,We Have a Ghost,3
4,The Forever Purge,1
5,Outside the Curriculum,1
6,Marry Me Again?,3
7,Faraway,1
8,The Condemned,2
9,Meet Joe Black,1
10,Your Place or Mine,5
1,F9: The Fast Saga,2
2,We Have a Ghost,2
3,Marry Me Again?,2
4,The Condemned,1
5,Your Place or Mine,4
6,The Strays,2
7,Scent of a Woman,2
8,Unlocked,2
9,Tonight You're Sleeping with Me,1
10,Mission: Impossible - Fallout,2
1,Marry Me Again?,1
2,F9: The Fast Saga,1
3,Your Place or Mine,3
4,We Have a Ghost,1
5,Unlocked,1
6,Scent of a Woman,1
7,Hard Target 2,1
8,The Strays,1
9,Mission: Impossible - Fallout,1
10,Finding You,2
1,Your Place or Mine,2
2,Nobody,3
3,True Spirit,2
4,Glass Onion: A Knives Out Mystery,9
5,A Stand Worthy of Men,20
6,Half Brothers,1
7,Finding You,1
8,The Humans and the Mongoose,18
9,The Boss Baby,5
10,You People,4
1,Nobody,2
2,Your Place or Mine,1
3,True Spirit,1
4,Viking Wolf,2
5,You People,3
6,Glass Onion: A Knives Out Mystery,8
7,A Stand Worthy of Men,19
