No,movie,weekatTop10
1,Scream,2
2,Love at First Sight,1
3,Leatherface,1
4,All My Life,1
5,The Croods,6
6,The Deep House,1
7,The Great Seduction,3
8,Come Play,1
9,The Boss Baby,11
10,You Are So Not Invited to My Bat Mitzvah,4
1,The Great Seduction,2
2,The Croods,5
3,You Are So Not Invited to My Bat Mitzvah,3
4,A Day and a Half,2
5,Scream,1
6,The Boss Baby,10
7,Out of Death,2
8,Spirit Stallion of the Cimarron,1
9,Choose Love,2
10,Shrek,18
1,The Great Seduction,1
2,You Are So Not Invited to My Bat Mitzvah,2
3,On the Line,2
4,The Boss Baby,9
5,Out of Death,1
6,Half Brothers,3
7,A Day and a Half,1
8,Choose Love,1
9,The Monkey King,3
10,Killer Book Club,1
1,Half Brothers,2
2,The Boss Baby,8
3,On the Line,1
4,Street Kings,1
5,The Monkey King,2
6,You Are So Not Invited to My Bat Mitzvah,1
7,Heart of Stone,3
8,Monte Carlo,1
9,Madagascar,1
10,Rumble,2
1,Heart of Stone,2
2,Half Brothers,1
3,Rumble,1
4,Good Luck to You Leo Grande,2
5,The Monkey King,1
6,Miraculous Ladybug & Cat Noir The Movie,4
7,Shrek,17
8,Stuart Little 2,2
9,What Men Want,3
10,The Boss Baby,7
1,Heart of Stone,1
2,Shark Bait,2
3,Good Luck to You Leo Grande,1
4,Clifford the Big Red Dog,2
5,Hidden Strike,3
6,Miraculous Ladybug & Cat Noir The Movie,3
7,Paradise,3
8,Stuart Little,1
9,What Men Want,2
10,Stuart Little 2,1
1,Hidden Strike,2
2,Miraculous Ladybug & Cat Noir The Movie,2
3,Shark Bait,1
4,Paradise,2
5,The Lady of Silence The Mataviejitas Murders,2
6,Clifford the Big Red Dog,1
7,Soulcatcher,1
8,The Almost Legends,3
9,Happiness for Beginners,1
10,Zom 100 Bucket List of the Dead,1
1,Hidden Strike,1
2,Miraculous Ladybug & Cat Noir The Movie,1
3,The Almost Legends,2
4,The Lady of Silence The Mataviejitas Murders,1
5,Bird Box Barcelona,3
6,Paradise,1
7,Paw Patrol The Movie,7
8,Whats Your Number?,2
9,Shrek,16
10,Shrek 2,10
1,The Almost Legends,1
2,Bird Box Barcelona,2
3,The OutLaws,3
4,Man on Fire,3
5,Paw Patrol The Movie,6
6,Whats Your Number?,1
7,Shrek,15
8,Shrek 2,9
9,Paranormal Activity Next of Kin,1
10,Sing,17
1,The OutLaws,2
2,Bird Box Barcelona,1
3,Mafia Mamma,2
4,Battle of the Year,1
5,Paw Patrol The Movie,5
6,Are We There Yet?,2
7,Shrek,14
8,Terminator Salvation,1
9,Shrek 2,8
10,Sing,16
1,Old Henry,1
2,The OutLaws,1
3,Sniper Assassins End,2
4,The Silencing,1
5,Paw Patrol The Movie,4
6,Are We There Yet?,1
7,Extraction 2,4
8,Mafia Mamma,1
9,Blumhouses Fantasy Island,2
10,The Last Stand,1
1,Extraction 2,3
2,Through My Window Across the Sea,2
3,Paw Patrol The Movie,3
4,Ghosts of the Abyss,1
5,Make Me Believe,2
6,Sniper Assassins End,1
7,The Perfect Find,1
8,Get Out,2
9,Shrek,13
10,Blumhouses Fantasy Island,1
1,Extraction 2,2
2,Paw Patrol The Movie,2
3,Through My Window Across the Sea,1
4,Get Out,1
5,Extraction,2
6,What Happens in Vegas,2
7,Make Me Believe,1
8,Shrek,12
9,Take Care of Maya,1
10,Shrek 2,7
1,Extraction 2,2
2,Paw Patrol The Movie,2
3,Through My Window Across the Sea,1
4,Get Out,1
5,Extraction,2
6,What Happens in Vegas,2
7,Make Me Believe,1
8,Shrek,12
9,Take Care of Maya,1
10,Shrek 2,7
1,Extraction 2,2
2,Paw Patrol The Movie,2
3,Through My Window Across the Sea,1
4,Get Out,1
5,Extraction,2
6,What Happens in Vegas,2
7,Make Me Believe,1
8,Shrek,12
9,Take Care of Maya,1
10,Shrek 2,7
1,Where the Tracks End,2
2,Tin & Tina,2
3,¡Que viva México!,4
4,Blood & Gold,1
5,2 Hearts,2
6,A Beautiful Life,1
7,The Pledge,1
8,Shooter,1
9,The Mother,4
10,Shrek,10
1,¡Que viva México!,3
2,2 Hearts,1
3,Where the Tracks End,1
4,The Mother,3
5,Mothers Day,1
6,Tin & Tina,1
7,Shrek,9
8,Faithfully Yours,2
9,The Great Wall,3
10,The Flintstones,1
1,¡Que viva México!,2
2,The Mother,2
3,Faithfully Yours,1
4,Synchronic,2
5,The Healer,1
6,Wrong Place,3
7,Mrs. Chatterjee vs Norway,1
8,Sing,15
9,The Deep End of the Ocean,3
10,Anna Nicole Smith You Dont Know Me,1
1,¡Que viva México!,1
2,The Mother,1
3,Wrong Place,2
4,The Deep End of the Ocean,2
5,Synchronic,1
6,1408,1
7,Knowing,2
8,The Tournament,2
9,A Quiet Place Part II,3
10,Kung Fu Panda 3,3
1,Wrong Place,1
2,AKA,2
3,A Quiet Place Part II,2
4,The Deep End of the Ocean,1
5,The Father,1
6,The Lodge,1
7,The Tournament,1
8,Queens on the Run,4
9,Knowing,1
10,Hunger,5
1,Let Him Go,2
2,AKA,1
3,A Tourists Guide to Love,2
4,Queens on the Run,3
5,Hunger,4
6,Chokehold,1
7,Shrek 2,6
8,One More Time,2
9,A Quiet Place Part II,1
10,Chupa,4
1,Queens on the Run,2
2,Let Him Go,1
3,Hunger,3
4,The Last Kingdom Seven Kings Must Die,2
5,Trolls World Tour,2
6,Chupa,3
7,A Tourists Guide to Love,1
8,Shrek 2,5
9,One More Time,1
10,Sing,14
1,Hunger,2
2,Queens on the Run,1
3,Chupa,2
4,Trolls World Tour,1
5,The Last Kingdom Seven Kings Must Die,1
6,Home,2
7,Murder Mystery 2,3
8,Shrek 2,4
9,Risen,3
10,Noah,2
1,Murder Mystery 2,2
2,Chupa,1
3,Noah,1
4,비상선언,2
5,Home,1
6,Hunger,1
7,Murder Mystery,2
8,Patriots Day,1
9,Kill Boksoon,2
10,Risen,2
1,비상선언,1
2,Murder Mystery 2,1
3,Chor Nikal Ke Bhaga,2
4,Murder Mystery,1
5,Johnny,2
6,Sing,13
7,Perfume The Story of a Murderer,3
8,Shrek 2,3
9,Kill Boksoon,1
10,Luther The Fallen Sun,4
1,Perfume The Story of a Murderer,2
2,The Magicians Elephant,2
3,In His Shadow,2
4,Luther The Fallen Sun,3
5,Still Time,2
6,Chor Nikal Ke Bhaga,1
7,Noise,2
8,All Quiet on the Western Front,5
9,Sing,12
10,Johnny,1
1,Luther The Fallen Sun,2
2,Have a nice day!,1
3,The Magicians Elephant,1
4,Still Time,1
5,Faraway,2
6,Perfume The Story of a Murderer,1
7,All Quiet on the Western Front,4
8,In His Shadow,1
9,Noise,1
10,Sing,11
1,Luther The Fallen Sun,1
2,Faraway,1
3,The Constant Gardener,1
4,Boyz n the Hood,1
5,Love at First Kiss,2
6,Bad Boys for Life,3
7,The Secret Life of Pets,7
8,Bridge to Terabithia,2
9,Sing,10
10,10 Days of a Good Man,1
1,Bad Boys for Life,2
2,We Have a Ghost,2
3,The Condemned,1
4,The Secret Life of Pets,6
5,Love at First Kiss,1
6,Tonight Youre Sleeping with Me,1
7,Bridge to Terabithia,1
8,The Strays,2
9,Tears of the Sun,1
10,Sing,9
1,Army of One,1
2,We Have a Ghost,1
3,The Strays,1
4,The Secret Life of Pets,5
5,Jurassic World,2
6,Bad Boys for Life,1
7,All the Places,2
8,Unlocked,2
9,Your Place or Mine,3
10,Sing,8
1,All the Places,1
2,Your Place or Mine,2
3,Jurassic World,1
4,Sing,7
5,Powder,3
6,Captain Underpants The First Epic Movie,1
7,Squared Love All Over Again,1
8,The Secret Life of Pets,4
9,Unlocked,1
10,Sniper Ultimate Kill,2
1,Your Place or Mine,1
2,Bloodshot,2
3,I Like It But It Scares Me,2
4,Viking Wolf,2
5,Powder,2
6,True Spirit,1
7,Sniper Ultimate Kill,1
8,Sing,6
9,Sniper Ghost Shooter,2
10,P.S. I Love You,1
1,I Like It But It Scares Me,1
2,You People,2
3,Sniper Ghost Shooter,1
4,The Hurricane Heist,1
5,Viking Wolf,1
6,Bloodshot,1
7,Sing,5
8,Powder,1
9,Inheritance,2
10,Infiesto,1
1,Narvik,1
2,Inheritance,1
3,You People,1
4,Sing,4
5,Puss in Boots,2
6,The Price of Family,1
7,JUNGE,2
8,Guillermo del Toro’s Pinocchio,8
9,Shrek 2,2
10,Shrek,8
1,Sing,3
2,Noise,2
3,Dog Gone,2
4,JUNGE,1
5,I Tonya,1
6,Puss in Boots,1
7,Guillermo del Toro’s Pinocchio,7
8,Shrek 2,1
9,Jumanji The Next Level,3
10,Shrek,7
1,Noise,1
2,Sing,2
3,The Pale Blue Eye,2
4,Dog Gone,1
5,Jumanji The Next Level,2
6,Guillermo del Toro’s Pinocchio,6
7,Next Day Air,1
8,A Dogs Purpose,1
9,Colombiana,1
10,Maid in Manhattan,1
1,Sing,1
2,Jumanji The Next Level,1
3,The Pale Blue Eye,1
4,Brawl in Cell Block 99,1
5,Honest Thief,1
6,Hard Target 2,1
7,Guillermo del Toro’s Pinocchio,5
8,Roald Dahls Matilda The Musical,2
9,Ad Astra,1
10,Glass Onion A Knives Out Mystery,3
1,Glass Onion A Knives Out Mystery,2
2,Roald Dahls Matilda The Musical,1
3,Guillermo del Toro’s Pinocchio,4
4,A Not So Merry Christmas,2
5,How the Grinch Stole Christmas,7
6,A Bad Moms Christmas,2
7,Hereditary,1
8,Colors of Love,1
9,7 Women and a Murder,1
10,Troll,5
1,Guillermo del Toro’s Pinocchio,3
2,A Not So Merry Christmas,1
3,Glass Onion A Knives Out Mystery,1
4,How the Grinch Stole Christmas,6
5,The Volcano Rescue from Whakaari,1
6,A Bad Moms Christmas,1
7,The Big 4,2
8,Troll,4
9,Private Lesson,1
10,I Believe in Santa,2
1,Guillermo del Toro’s Pinocchio,2
2,Gods Crooked Lines,2
3,Troll,3
4,How the Grinch Stole Christmas,5
5,I Believe in Santa,1
6,The Big 4,1
7,The Boy in the Striped Pajamas,1
