No,movie,week_at_Top10
1,Love at First Sight,1
2,Woody Woodpecker,2
3,The Wolf of Wall Street,1
4,Killers,1
5,My Big Fat Greek Wedding 2,1
6,You Are So Not Invited to My Bat Mitzvah,4
7,Matilda,5
8,Don't Worry Darling,2
9,Dredd,2
10,Despicable Me 2,17
1,Love Again,2
2,Snitch,2
3,You Are So Not Invited to My Bat Mitzvah,3
4,Woody Woodpecker,1
5,Don't Worry Darling,1
6,Arrival,2
7,Couples Retreat,2
8,Dredd,1
9,Choose Love,1
10,Hacksaw Ridge,2
1,You Are So Not Invited to My Bat Mitzvah,2
2,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,2
3,Love Again,1
4,Snitch,1
5,Couples Retreat,1
6,Sausage Party,1
7,Arrival,1
8,The Big Short,2
9,The Monkey King,3
10,Hacksaw Ridge,1
1,You Are So Not Invited to My Bat Mitzvah,1
2,The Pope's Exorcist,2
3,The Monkey King,2
4,Heart of Stone,3
5,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,1
6,Despicable Me 2,16
7,Brotherly Love,1
8,Despicable Me,10
9,The Big Short,1
10,The Boss Baby,10
1,Heart of Stone,2
2,The Pope's Exorcist,1
3,Despicable Me 2,15
4,The Monkey King,1
5,Untold: Johnny Football,2
6,Despicable Me,9
7,Untold: Hall of Shame,1
8,River Wild,3
9,Bee Movie,2
10,Safe,2
1,Heart of Stone,1
2,Untold: Johnny Football,1
3,Despicable Me 2,14
4,Fatale,2
5,River Wild,2
6,The Fast and the Furious,1
7,Safe,1
8,Despicable Me,8
9,Bee Movie,1
10,Non-Stop,2
1,Hidden Strike,2
2,Happiness for Beginners,2
3,Fatale,1
4,"Miraculous: Ladybug & Cat Noir, The Movie",2
5,River Wild,1
6,Poisoned: The Dirty Truth About Your Food,1
7,Puss in Boots: The Last Wish,4
8,Paradise,1
9,Fast Five,1
10,Non-Stop,1
1,They Cloned Tyrone,2
2,Hidden Strike,1
3,Happiness for Beginners,1
4,Puss in Boots: The Last Wish,3
