No,movie,week_at_Top10,hours_seen,duration,views
1,Love at First Sight,1,21400000,1:31,14100000
2,You Are So Not Invited to My Bat Mitzvah,4,7400000,1:44,4300000
3,Woody Woodpecker,2,5300000,1:31,3500000
4,Dr. Seuss' The Grinch,2,4900000,1:26,3400000
5,Fifty Shades Freed,1,5900000,1:45,3400000
6,The Croods,7,5200000,1:38,3200000
7,All My Life,1,4600000,1:32,3000000
8,Leatherface,1,4300000,1:28,2900000
9,The Boss Baby,13,4600000,1:38,2800000
10,Jack Reacher: Never Go Back,3,5200000,1:58,2600000
1,You Are So Not Invited to My Bat Mitzvah,3,15300000,1:44,8800000
2,Choose Love,2,9000000,1:17,7000000
3,The Croods,6,6800000,1:38,4200000
4,Dr. Seuss' The Grinch,1,5900000,1:26,4100000
5,The Boss Baby,12,6400000,1:38,3900000
6,Snitch,2,6900000,1:47,3900000
7,Love Again,2,6600000,1:44,3800000
8,Jack Reacher: Never Go Back,2,7400000,1:58,3800000
9,Heart of Stone,5,7300000,2:06,3500000
10,Jack Reacher,2,7500000,2:10,3500000
1,You Are So Not Invited to My Bat Mitzvah,2,37900000,1:44,21900000
2,The Monkey King,3,10600000,1:37,6600000
3,Heart of Stone,4,13700000,2:06,6500000
4,Choose Love,1,8300000,1:17,6500000
5,The Boss Baby,11,8500000,1:38,5200000
6,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,1,8600000,2:09,4000000
7,The Pope's Exorcist,3,5400000,1:44,3100000
8,Love Again,1,5100000,1:44,2900000
9,On the Line,1,4800000,1:44,2800000
10,Snitch,1,4100000,1:47,2300000
1,The Monkey King,2,23200000,1:37,14400000
2,Heart of Stone,3,28500000,2:06,13600000
3,You Are So Not Invited to My Bat Mitzvah,1,21300000,1:44,12300000
4,Street Kings,2,10300000,1:49,5700000
5,The Boss Baby,10,9000000,1:38,5500000
6,Jurassic World: Fallen Kingdom,1,10100000,2:08,4700000
7,The Pope's Exorcist,2,6500000,1:44,3800000
8,Half Brothers,2,5900000,1:36,3700000
9,Madagascar,1,4800000,1:26,3300000
10,Dora and the Lost City of Gold,2,4900000,1:42,2900000
1,Heart of Stone,2,74000000,2:06,35200000
2,The Monkey King,1,13100000,1:37,8100000
3,The Pope's Exorcist,1,10400000,1:44,6000000
4,Half Brothers,1,7300000,1:36,4600000
5,Hidden Strike,4,6000000,1:43,3500000
6,"Miraculous: Ladybug & Cat Noir, The Movie",4,5900000,1:42,3500000
7,What Men Want,2,6700000,1:57,3400000
8,Despicable Me 2,11,5500000,1:38,3400000
9,Untold: Hall of Shame,1,3900000,1:18,3000000
10,Untold: Johnny Football,2,3400000,1:12,2800000
1,Heart of Stone,1,69600000,2:06,33100000
2,Hidden Strike,3,13300000,1:43,7700000
3,Untold: Johnny Football,1,9200000,1:12,7700000
4,What Men Want,1,11600000,1:57,5900000
5,"Miraculous: Ladybug & Cat Noir, The Movie",3,9800000,1:42,5800000
6,Happiness for Beginners,3,8900000,1:46,5000000
7,Despicable Me 2,10,7800000,1:38,4800000
8,Shark Bait,2,6200000,1:25,4400000
9,Fatale,3,7100000,1:43,4100000
10,River Wild,2,5900000,1:31,3900000
1,Hidden Strike,2,40500000,1:43,23600000
2,Happiness for Beginners,2,23100000,1:46,13100000
3,"Miraculous: Ladybug & Cat Noir, The Movie",2,21200000,1:42,12500000
4,Poisoned: The Dirty Truth About Your Food,1,7200000,1:24,5100000
5,Missing: The Lucie Blackman Case,2,6900000,1:22,5000000
6,Fatale,2,8500000,1:43,5000000
7,Shark Bait,1,5200000,1:25,3700000
8,They Cloned Tyrone,3,7500000,2:04,3600000
9,River Wild,1,5200000,1:31,3400000
10,Untold: Jake Paul the Problem Child,1,3900000,1:12,3300000
1,Hidden Strike,1,37800000,1:43,22000000
2,"Miraculous: Ladybug & Cat Noir, The Movie",1,20800000,1:42,12200000
3,They Cloned Tyrone,2,23000000,2:04,11100000
4,Happiness for Beginners,1,16500000,1:46,9300000
5,Missing: The Lucie Blackman Case,1,10400000,1:22,7600000
6,The Out-Laws,4,8900000,1:37,5500000
7,Unknown: Cosmic Time Machine,1,5600000,1:05,5200000
8,Puss in Boots: The Last Wish,3,7200000,1:42,4200000
9,The Deepest Breath,2,6500000,1:50,3500000
10,Extraction 2,7,6000000,2:04,2900000
1,The Out-Laws,3,19500000,1:37,12100000
2,Unknown: Cave of Bones,1,10300000,1:35,6500000
3,They Cloned Tyrone,1,13100000,2:04,6300000
4,Puss in Boots: The Last Wish,2,10600000,1:42,6200000
5,The Deepest Breath,1,8400000,1:50,4600000
6,Ride Along,1,7100000,1:39,4300000
7,Man on Fire,4,9400000,2:26,3900000
8,Extraction 2,6,7800000,2:04,3800000
9,Nimona,4,5900000,1:43,3400000
10,Captain Underpants: The First Epic Movie,1,4600000,1:29,3100000
1,The Out-Laws,2,46300000,1:37,28600000
2,65,1,10500000,1:33,6800000
3,Puss in Boots: The Last Wish,1,9400000,1:42,5500000
4,Extraction 2,5,10800000,2:04,5200000
5,Nimona,3,8000000,1:43,4700000
6,Sing,9,6500000,1:48,3600000
7,The Tutor,1,5000000,1:33,3200000
8,Paw Patrol: The Movie,7,4400000,1:26,3100000
9,Mafia Mamma,1,4700000,1:41,2800000
10,Unknown: Killer Robots,1,3200000,1:10,2700000
1,The Out-Laws,1,31700000,1:37,19600000
2,Extraction 2,4,18400000,2:04,8900000
3,Nimona,2,11500000,1:43,6700000
4,Run Rabbit Run,2,9900000,1:41,5900000
5,Unknown: The Lost Pyramid,1,7900000,1:24,5600000
6,Sniper: Assassin's End,2,8500000,1:35,5400000
7,Old Henry,1,8100000,1:39,4900000
8,WHAM!,1,6800000,1:32,4400000
9,Skyscraper,1,7500000,1:42,4400000
10,Woody Woodpecker,1,6300000,1:31,4200000
1,Extraction 2,3,36200000,2:04,17500000
2,The Perfect Find,2,18400000,1:40,11000000
3,Run Rabbit Run,1,14200000,1:41,8400000
4,Extraction,3,11800000,1:58,6000000
5,Take Care of Maya,2,7900000,1:44,4600000
6,Paw Patrol: The Movie,6,6400000,1:26,4500000
7,Sniper: Assassin's End,1,5400000,1:35,3400000
8,Ghosts of the Abyss,1,4900000,1:28,3300000
9,Nimona,1,5500000,1:43,3200000
10,Roald Dahl's Matilda The Musical,6,4900000,2:02,2400000
1,Extraction 2,2,87300000,2:04,42200000
2,Extraction,2,27200000,1:58,13800000
3,Take Care of Maya,1,16000000,1:44,9200000
4,The Perfect Find,1,11700000,1:40,7000000
5,Paw Patrol: The Movie,5,9100000,1:26,6300000
6,The Mule,1,9200000,1:42,5400000
7,What Happens in Vegas,2,7600000,1:39,4600000
8,The Boss Baby,9,4500000,1:38,2800000
9,Get Out,1,4100000,1:44,2400000
10,47 Ronin,1,4700000,2:01,2300000
1,Extraction 2,1,88400000,2:04,42800000
2,Extraction,1,18800000,1:58,9600000
3,Paw Patrol: The Movie,4,9400000,1:26,6600000
4,The Boss Baby,8,5800000,1:38,3600000
5,Assassin's Creed,1,5400000,1:55,2800000
6,The Mother,6,5400000,1:57,2800000
7,The Angry Birds Movie,2,4300000,1:38,2600000
8,Abduction,2,4000000,1:46,2300000
9,Shooter,4,4700000,2:05,2300000
10,Prisoners,3,5100000,2:33,2000000
1,Prisoners,2,13890000,,
2,Shooter,3,12770000,,
3,Abduction,1,9570000,,
4,The Mother,5,8360000,,
5,The Boss Baby,7,8320000,,
6,We're the Millers,2,7720000,,
7,The Angry Birds Movie,1,5720000,,
8,The Company Men,1,5390000,,
9,Grown Ups 2,1,5230000,,
10,The Choice,2,4950000,,
1,The Mother,4,16480000,,
2,The Boss Baby,6,10580000,,
3,Missing,3,8080000,,
4,2 Hearts,2,7720000,,
5,Shooter,2,7480000,,
6,We're the Millers,1,6730000,,
7,Dirty Grandpa,1,5570000,,
8,To Leslie,1,5370000,,
9,The Choice,1,4260000,,
10,F9: The Fast Saga,2,4160000,,
1,The Mother,3,34690000,,
2,2 Hearts,1,19280000,,
3,Missing,2,15930000,,
4,The Son,1,7940000,,
5,The Great Wall,2,7690000,,
6,Victim/Suspect,1,6600000,,
7,Ted,2,5750000,,
8,Anna Nicole Smith: You Don't Know Me,2,5550000,,
9,The Boss Baby,5,5450000,,
10,A Man Called Otto,4,5350000,,
1,The Mother,2,94420000,,
2,Anna Nicole Smith: You Don't Know Me,1,15650000,,
3,Ted,1,11210000,,
4,A Man Called Otto,3,10640000,,
5,Synchronic,2,6990000,,
6,Missing,1,5220000,,
7,Harry Potter and the Sorcerer's Stone,1,4790000,,
8,The Croods,5,4280000,,
9,UglyDolls,1,3820000,,
10,The Healer,1,3330000,,
1,The Mother,1,83710000,,
2,A Man Called Otto,2,19880000,,
3,The Croods,4,8700000,,
4,The Deep End of the Ocean,2,6420000,,
5,Synchronic,1,5930000,,
6,Kung Fu Panda 3,3,5750000,,
7,Wrong Place,2,5580000,,
8,The Tournament,2,4880000,,
9,Pitch Perfect,2,4580000,,
10,Heat,2,4520000,,
1,A Man Called Otto,1,13480000,,
2,Pitch Perfect,1,11440000,,
