Index,No,movie,week_at_Top10
0,1,Love at First Sight,1
1,2,Jack Reacher: Never Go Back,2
2,3,12 Mighty Orphans,2
3,4,Dr. Seuss' The Grinch,2
4,5,Escape Room: Tournament Of Champions,2
5,6,Undisputed 2: Last Man Standing,2
6,7,50/50,1
7,8,Cradle 2 the Grave,1
8,9,"Ordinary Men: The ""Forgotten Holocaust""",1
9,10,Did You Hear About the Morgans?,1
0,1,Jack Reacher: Never Go Back,1
1,2,Dr. Seuss' The Grinch,1
2,3,Knock at the Cabin,1
3,4,You Are So Not Invited to My Bat Mitzvah,3
4,5,12 Mighty Orphans,1
5,6,Escape Room: Tournament Of Champions,1
6,7,Scream,2
7,8,Choose Love,1
8,9,The Boss Baby,8
9,10,Undisputed 2: Last Man Standing,1
0,1,You Are So Not Invited to My Bat Mitzvah,2
1,2,The Impossible,2
2,3,The Monkey King,3
3,4,The Boss Baby,7
4,5,Heart of Stone,4
5,6,Paw Patrol: The Movie,16
6,7,Little Children,1
7,8,Scream,1
8,9,The Secret Life of Pets,2
9,10,Clifford the Big Red Dog,3
0,1,The Monkey King,2
1,2,Heart of Stone,3
2,3,The Impossible,1
3,4,You Are So Not Invited to My Bat Mitzvah,1
4,5,Clifford the Big Red Dog,2
5,6,Aquaman,2
6,7,How to Be Single,2
7,8,Dora and the Lost City of Gold,1
8,9,The Boss Baby,6
9,10,The Age of Adaline,2
0,1,Heart of Stone,2
1,2,M3GAN,2
2,3,Clifford the Big Red Dog,1
3,4,Aquaman,1
4,5,Mission: Impossible - Rogue Nation,1
5,6,Puss in Boots: The Last Wish,4
6,7,The Monkey King,1
7,8,The Age of Adaline,1
8,9,Paw Patrol: The Movie,15
9,10,I Feel Pretty,1
0,1,Heart of Stone,1
1,2,Puss in Boots: The Last Wish,3
2,3,M3GAN,1
3,4,Happiness for Beginners,3
4,5,Pokémon Detective Pikachu,1
5,6,Hidden Strike,3
6,7,"Miraculous: Ladybug & Cat Noir, The Movie",3
7,8,The Bag Man,2
8,9,The Ninth Gate,1
9,10,Paw Patrol: The Movie,14
0,1,Puss in Boots: The Last Wish,2
1,2,Happiness for Beginners,2
2,3,Hidden Strike,2
3,4,"Miraculous: Ladybug & Cat Noir, The Movie",2
4,5,Missing: The Lucie Blackman Case,2
5,6,The Bag Man,1
6,7,The Hitman's Wife's Bodyguard,2
7,8,Hyena Road,1
8,9,Half Past Dead,1
9,10,Outback,2
0,1,The Hitman's Wife's Bodyguard,1
