Index,No,movie,week_at_Top10
0,1,The Little Things,2
1,2,Love at First Sight,1
2,3,Tom and Jerry,1
3,4,Superintelligence,1
4,5,Dr. Seuss' The Grinch,2
5,6,The Hangover,2
6,7,Hell or High Water,1
7,8,The Hangover: Part II,1
8,9,Logan Lucky,1
9,10,The Hangover: Part III,1
0,1,The Little Things,1
1,2,Dr. Seuss' The Grinch,1
2,3,Godzilla vs. Kong,1
3,4,Edge of Tomorrow,1
4,5,The Ruins,2
5,6,You Are So Not Invited to My Bat Mitzvah,3
6,7,The Hangover,1
7,8,Double Jeopardy,2
8,9,Paw Patrol: The Movie,9
9,10,Last Night in Soho,2
0,1,You Are So Not Invited to My Bat Mitzvah,2
1,2,Tenet,1
2,3,The Ruins,1
3,4,Resident Evil: Welcome to Raccoon City,1
4,5,Last Night in Soho,1
5,6,Madagascar,2
6,7,Copshop,2
7,8,Men in Black,1
8,9,Jurassic World: Fallen Kingdom,2
9,10,Paw Patrol: The Movie,8
0,1,Copshop,1
1,2,Jurassic World: Fallen Kingdom,1
2,3,TIM,2
3,4,You Are So Not Invited to My Bat Mitzvah,1
4,5,Heart of Stone,3
5,6,The Founder,2
6,7,The Monkey King,2
7,8,The Stepfather,1
8,9,Madagascar,1
9,10,Ted,1
0,1,Heart of Stone,2
1,2,The Founder,1
2,3,Ghostbusters: Afterlife,2
3,4,TIM,1
4,5,Bigfoot Junior,1
5,6,Paw Patrol: The Movie,7
6,7,The Monkey King,1
7,8,GAME OF DEATH,1
8,9,Roald Dahl's Matilda The Musical,8
9,10,Daredevil,1
0,1,Heart of Stone,1
1,2,Bull,2
2,3,Ghostbusters: Afterlife,1
3,4,"Miraculous: Ladybug & Cat Noir, The Movie",3
4,5,Paw Patrol: The Movie,6
5,6,Happiness for Beginners,3
6,7,Hidden Strike,3
7,8,Roald Dahl's Matilda The Musical,7
8,9,Spider-Man: Into the Spider-Verse,4
9,10,Untold: Johnny Football,1
0,1,Bull,1
1,2,Hidden Strike,2
2,3,Missing: The Lucie Blackman Case,2
3,4,Happiness for Beginners,2
4,5,"Miraculous: Ladybug & Cat Noir, The Movie",2
5,6,Untold: Jake Paul the Problem Child,1
6,7,Paradise,1
7,8,Spider-Man: Into the Spider-Verse,3
8,9,Venom: Let There Be Carnage,2
9,10,What's Love Got to Do with It?,2
0,1,Venom: Let There Be Carnage,1
1,2,Missing: The Lucie Blackman Case,1
2,3,Spider-Man: Into the Spider-Verse,2
3,4,Bastille Day,2
4,5,Hidden Strike,1
5,6,The Deepest Breath,2
6,7,"Miraculous: Ladybug & Cat Noir, The Movie",1
7,8,Happiness for Beginners,1
8,9,Roald Dahl's Matilda The Musical,6
9,10,What's Love Got to Do with It?,1
0,1,Bastille Day,1
1,2,The Commuter,1
2,3,Spider-Man: Into the Spider-Verse,1
3,4,The Deepest Breath,1
4,5,The Out-Laws,3
5,6,Bird Box Barcelona,2
6,7,Roald Dahl's Matilda The Musical,5
7,8,Unspeakable,1
8,9,Lost City of Z,1
9,10,Unknown: Cave of Bones,1
0,1,The Out-Laws,2
1,2,WHAM!,2
2,3,The Interrogation of Tony Martin,1
3,4,Roald Dahl's Matilda The Musical,4
4,5,Bird Box Barcelona,1
5,6,Sing,14
6,7,Paw Patrol: The Movie,5
7,8,Venom,2
8,9,Night School,1
9,10,Johnny English Strikes Again,1
0,1,WHAM!,1
1,2,The Out-Laws,1
2,3,Roald Dahl's Matilda The Musical,3
3,4,10x10,2
4,5,Paw Patrol: The Movie,4
5,6,Venom,1
6,7,Unknown: The Lost Pyramid,1
7,8,Run Rabbit Run,2
8,9,Extraction 2,4
9,10,Sing,13
0,1,Roald Dahl's Matilda The Musical,2
1,2,Extraction 2,3
2,3,Run Rabbit Run,1
3,4,Paw Patrol: The Movie,3
4,5,Take Care of Maya,2
5,6,10x10,1
6,7,Four Lions,1
7,8,Extraction,3
8,9,The Perfect Find,2
9,10,I Give It a Year,1
0,1,Extraction 2,2
1,2,Paw Patrol: The Movie,2
2,3,Take Care of Maya,1
3,4,Extraction,2
4,5,Roald Dahl's Matilda The Musical,1
5,6,What Happens in Vegas,2
6,7,The Perfect Find,1
7,8,Harry Potter and the Sorcerer's Stone,6
8,9,The Unbearable Weight of Massive Talent,2
9,10,Harry Potter and the Prisoner of Azkaban,6
0,1,Extraction 2,1
1,2,Paw Patrol: The Movie,1
2,3,Extraction,1
3,4,Harry Potter and the Sorcerer's Stone,5
4,5,Harry Potter and the Half-Blood Prince,5
5,6,Harry Potter and the Order of the Phoenix,5
6,7,Harry Potter and the Prisoner of Azkaban,5
7,8,Harry Potter and the Deathly Hallows: Part 1,4
8,9,Harry Potter and the Deathly Hallows: Part 2,4
9,10,The Unbearable Weight of Massive Talent,1
0,1,Harry Potter and the Half-Blood Prince,4
1,2,The Family,1
2,3,Harry Potter and the Goblet of Fire,4
3,4,F9: The Fast Saga,3
4,5,Harry Potter and the Chamber of Secrets,4
5,6,Harry Potter and the Sorcerer's Stone,4
6,7,Harry Potter and the Deathly Hallows: Part 1,3
7,8,Harry Potter and the Order of the Phoenix,4
8,9,Harry Potter and the Prisoner of Azkaban,4
9,10,Harry Potter and the Deathly Hallows: Part 2,3
0,1,F9: The Fast Saga,2
1,2,Harry Potter and the Chamber of Secrets,3
2,3,Harry Potter and the Sorcerer's Stone,3
3,4,Harry Potter and the Goblet of Fire,3
4,5,Harry Potter and the Prisoner of Azkaban,3
5,6,Harry Potter and the Half-Blood Prince,3
6,7,Harry Potter and the Order of the Phoenix,3
7,8,Harry Potter and the Deathly Hallows: Part 1,2
8,9,Old,2
9,10,Harry Potter and the Deathly Hallows: Part 2,2
0,1,Harry Potter and the Sorcerer's Stone,2
1,2,Harry Potter and the Chamber of Secrets,2
2,3,Harry Potter and the Prisoner of Azkaban,2
3,4,Harry Potter and the Goblet of Fire,2
4,5,Harry Potter and the Half-Blood Prince,2
5,6,Harry Potter and the Order of the Phoenix,2
6,7,F9: The Fast Saga,1
7,8,Harry Potter and the Deathly Hallows: Part 1,1
8,9,Old,1
9,10,Harry Potter and the Deathly Hallows: Part 2,1
0,1,Harry Potter and the Sorcerer's Stone,1
1,2,The Mother,2
2,3,Harry Potter and the Chamber of Secrets,1
3,4,Harry Potter and the Prisoner of Azkaban,1
4,5,Harry Potter and the Goblet of Fire,1
