Index,No,movie,week_at_Top10,hours_seen,duration,views
0,1,Love at First Sight,1,21400000,01:31:00,14100000
1,2,You Are So Not Invited to My Bat Mitzvah,4,7400000,01:44:00,4300000
2,3,Woody Woodpecker,2,5300000,01:31:00,3500000
3,4,Dr. Seuss' The Grinch,2,4900000,01:26:00,3400000
4,5,Fifty Shades Freed,1,5900000,01:45:00,3400000
5,6,The Croods,7,5200000,01:38:00,3200000
6,7,All My Life,1,4600000,01:32:00,3000000
7,8,Leatherface,1,4300000,01:28:00,2900000
8,9,The Boss Baby,13,4600000,01:38:00,2800000
9,10,Jack Reacher: Never Go Back,3,5200000,01:58:00,2600000
0,1,You Are So Not Invited to My Bat Mitzvah,3,15300000,01:44:00,8800000
1,2,Choose Love,2,9000000,01:17:00,7000000
2,3,The Croods,6,6800000,01:38:00,4200000
3,4,Dr. Seuss' The Grinch,1,5900000,01:26:00,4100000
4,5,The Boss Baby,12,6400000,01:38:00,3900000
5,6,Snitch,2,6900000,01:47:00,3900000
6,7,Love Again,2,6600000,01:44:00,3800000
7,8,Jack Reacher: Never Go Back,2,7400000,01:58:00,3800000
8,9,Heart of Stone,5,7300000,02:06:00,3500000
9,10,Jack Reacher,2,7500000,02:10:00,3500000
0,1,You Are So Not Invited to My Bat Mitzvah,2,37900000,01:44:00,21900000
1,2,The Monkey King,3,10600000,01:37:00,6600000
2,3,Heart of Stone,4,13700000,02:06:00,6500000
3,4,Choose Love,1,8300000,01:17:00,6500000
4,5,The Boss Baby,11,8500000,01:38:00,5200000
5,6,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,1,8600000,02:09:00,4000000
6,7,The Pope's Exorcist,3,5400000,01:44:00,3100000
7,8,Love Again,1,5100000,01:44:00,2900000
8,9,On the Line,1,4800000,01:44:00,2800000
9,10,Snitch,1,4100000,01:47:00,2300000
0,1,The Monkey King,2,23200000,01:37:00,14400000
1,2,Heart of Stone,3,28500000,02:06:00,13600000
2,3,You Are So Not Invited to My Bat Mitzvah,1,21300000,01:44:00,12300000
3,4,Street Kings,2,10300000,01:49:00,5700000
4,5,The Boss Baby,10,9000000,01:38:00,5500000
5,6,Jurassic World: Fallen Kingdom,1,10100000,02:08:00,4700000
6,7,The Pope's Exorcist,2,6500000,01:44:00,3800000
7,8,Half Brothers,2,5900000,01:36:00,3700000
8,9,Madagascar,1,4800000,01:26:00,3300000
9,10,Dora and the Lost City of Gold,2,4900000,01:42:00,2900000
0,1,Heart of Stone,2,74000000,02:06:00,35200000
1,2,The Monkey King,1,13100000,01:37:00,8100000
2,3,The Pope's Exorcist,1,10400000,01:44:00,6000000
3,4,Half Brothers,1,7300000,01:36:00,4600000
4,5,Hidden Strike,4,6000000,01:43:00,3500000
5,6,"Miraculous: Ladybug & Cat Noir, The Movie",4,5900000,01:42:00,3500000
6,7,What Men Want,2,6700000,01:57:00,3400000
7,8,Despicable Me 2,11,5500000,01:38:00,3400000
8,9,Untold: Hall of Shame,1,3900000,01:18:00,3000000
9,10,Untold: Johnny Football,2,3400000,01:12:00,2800000
0,1,Heart of Stone,1,69600000,02:06:00,33100000
